Region,NbMoisService,Age,StatutMarital,Adresse,Revenu,education,NbAnneesEmployeur,Retraite,Sexe,TailleFoyer,ServiceNumVert,LocMateriel,ServiceCarteAppel,ServiceSansFil,Internet,AffichageNumAppel,DoubleAppel,TransfertAppel,ConfTel,PaieElectronique,CatClient,Churn
Zone 2,26,26,Non marie(e),2,14,Niveau Bac,6,Non,Femme,1,Oui,Oui,Non,Oui,Dial-up,Oui,Non,Oui,Oui,Oui,Service Total,Oui
Zone 3,14,36,Non marie(e),13,67,Bac +4/5,4,Non,Femme,1,Non,Oui,Non,Non,Dial-up,Non,Oui,Non,Non,Non,Service basic,Non
Zone 3,22,51,Non marie(e),27,49,Bac +2,1,Non,Homme,1,Non,Oui,Oui,Non,Aucun,Non,Non,Oui,Non,Oui,Service basic,Non
Zone 3,65,47,Marie(e),18,37,Inf au bac,15,Non,Femme,4,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,26,45,Non marie(e),18,33,Inf au bac,9,Non,Homme,1,Oui,Non,Oui,Non,Aucun,Non,Non,Non,Oui,Non,Service basic,Non
Zone 1,20,37,Non marie(e),5,46,Bac +2,10,Non,Femme,4,Non,Oui,Oui,Oui,Dial-up,Oui,Non,Oui,Oui,Oui,Service Total,Non
Zone 2,67,60,Marie(e),32,93,Inf au bac,21,Non,Homme,4,Non,Oui,Oui,Non,Aucun,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 1,34,55,Non marie(e),2,48,Niveau Bac,11,Non,Homme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 1,37,54,Marie(e),35,183,Niveau Bac,22,Non,Homme,3,Oui,Non,Oui,Non,Aucun,Oui,Oui,Non,Oui,Non,Service plus,Non
Zone 2,22,23,Marie(e),3,16,Inf au bac,5,Non,Homme,4,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 2,5,69,Non marie(e),0,11,Niveau Bac,14,Oui,Homme,1,Oui,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 1,28,31,Marie(e),0,42,Bac +2/3,5,Non,Femme,3,Oui,Non,Non,Non,Aucun,Oui,Non,Non,Oui,Non,Service plus,Non
Zone 1,20,41,Marie(e),7,67,Bac +2/3,14,Non,Femme,4,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,72,41,Non marie(e),20,181,Bac +2/3,12,Non,Homme,1,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Non,Oui,Oui,Service Total,Non
Zone 2,30,43,Non marie(e),18,53,Bac +2/3,6,Non,Homme,1,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Oui,Oui,Service basic,Non
Zone 3,71,52,Non marie(e),17,172,Niveau Bac,32,Non,Homme,1,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 2,56,44,Non marie(e),24,87,Niveau Bac,19,Non,Homme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,8,29,Marie(e),2,21,Bac +4/5,0,Non,Homme,2,Non,Oui,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Oui
Zone 2,32,65,Non marie(e),6,9,Niveau Bac,30,Oui,Femme,1,Non,Non,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 2,46,47,Non marie(e),22,144,Bac +2,22,Non,Femme,2,Oui,Non,Non,Non,Aucun,Non,Oui,Oui,Oui,Non,Service plus,Oui
Zone 3,60,45,Marie(e),23,117,Bac +2/3,11,Non,Homme,3,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,42,32,Marie(e),0,59,Bac +2/3,4,Non,Femme,6,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 3,71,60,Marie(e),39,508,Bac +2/3,35,Non,Homme,4,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 2,72,63,Marie(e),40,222,Niveau Bac,43,Oui,Femme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,45,66,Non marie(e),11,87,Bac +2,25,Oui,Femme,1,Non,Non,Oui,Non,Aucun,Oui,Non,Non,Non,Non,Service basic,Non
Zone 3,5,31,Non marie(e),4,34,Inf au bac,9,Non,Homme,1,Oui,Oui,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Oui
Zone 2,17,38,Marie(e),19,18,Bac +2/3,0,Non,Femme,4,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,70,55,Non marie(e),12,65,Bac +2,24,Non,Homme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,57,57,Marie(e),19,130,Bac +2,27,Non,Femme,2,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 1,20,33,Non marie(e),13,44,Bac +2,8,Non,Femme,1,Non,Oui,Non,Non,Aucun,Non,Non,Oui,Oui,Oui,Service electronique,Non
Zone 1,72,52,Marie(e),21,63,Inf au bac,24,Non,Homme,3,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,32,50,Non marie(e),28,57,Bac +2/3,20,Non,Homme,1,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,22,57,Marie(e),7,264,Inf au bac,35,Non,Femme,2,Non,Non,Oui,Non,Aucun,Oui,Non,Oui,Oui,Non,Service plus,Non
Zone 2,6,24,Non marie(e),2,28,Inf au bac,5,Non,Homme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Oui
Zone 3,32,23,Marie(e),2,26,Bac +2,1,Non,Femme,6,Oui,Oui,Oui,Non,Dial-up,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 1,38,33,Non marie(e),3,38,Bac +2/3,0,Non,Homme,1,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 1,53,35,Non marie(e),15,59,Bac +2,5,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Non,Oui,Oui,Non,Non,Service plus,Non
Zone 3,37,76,Non marie(e),38,117,Bac +2/3,21,Non,Femme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 1,47,35,Marie(e),13,70,Bac +2/3,9,Non,Femme,2,Oui,Oui,Non,Oui,Dial-up,Oui,Oui,Non,Oui,Oui,Service Total,Oui
Zone 3,69,59,Non marie(e),37,104,Niveau Bac,13,Non,Homme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,63,56,Non marie(e),17,71,Bac +2,18,Non,Femme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Oui,Non,Service basic,Non
Zone 1,61,34,Marie(e),0,70,Bac +2,7,Non,Femme,3,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 1,56,38,Marie(e),8,56,Bac +2/3,10,Non,Homme,2,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Non,Non,Oui,Service Total,Non
Zone 3,40,57,Marie(e),18,68,Inf au bac,23,Non,Homme,2,Oui,Non,Non,Non,Aucun,Non,Oui,Non,Oui,Non,Service plus,Non
Zone 2,61,45,Non marie(e),21,80,Niveau Bac,13,Non,Femme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,16,26,Non marie(e),7,21,Bac +2/3,1,Non,Homme,6,Oui,Oui,Non,Oui,Dial-up,Non,Non,Oui,Non,Oui,Service Total,Non
Zone 2,7,43,Non marie(e),4,69,Bac +2,5,Non,Femme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,20,31,Marie(e),10,39,Niveau Bac,3,Non,Femme,2,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 2,35,38,Non marie(e),7,90,Niveau Bac,18,Non,Homme,4,Oui,Non,Oui,Non,Dial-up,Non,Oui,Non,Non,Oui,Service electronique,Non
Zone 1,60,37,Marie(e),12,64,Bac +4/5,1,Non,Femme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,47,25,Non marie(e),2,28,Niveau Bac,6,Non,Homme,1,Oui,Oui,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,33,28,Marie(e),3,24,Niveau Bac,0,Non,Femme,6,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Oui,Service basic,Non
Zone 3,12,34,Non marie(e),2,44,Niveau Bac,7,Non,Homme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 1,10,31,Non marie(e),0,32,Bac +2/3,7,Non,Femme,2,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 2,69,33,Marie(e),9,52,Bac +2/3,9,Non,Femme,3,Non,Non,Oui,Non,Aucun,Non,Non,Oui,Oui,Non,Service plus,Non
Zone 1,23,20,Non marie(e),1,15,Bac +2,0,Non,Femme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 1,53,31,Non marie(e),10,46,Bac +2,6,Non,Homme,2,Oui,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,60,57,Marie(e),14,107,Niveau Bac,33,Non,Femme,2,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,33,33,Non marie(e),7,56,Niveau Bac,11,Non,Homme,1,Non,Non,Oui,Non,Aucun,Non,Oui,Non,Non,Non,Service basic,Non
Zone 3,67,40,Marie(e),21,40,Bac +2/3,7,Non,Femme,4,Non,Oui,Oui,Oui,Dial-up,Oui,Non,Oui,Non,Oui,Service Total,Non
Zone 3,15,38,Marie(e),5,56,Bac +2,13,Non,Homme,3,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Non,Non,Service plus,Non
Zone 3,64,31,Marie(e),5,46,Niveau Bac,7,Non,Femme,4,Non,Oui,Oui,Oui,Dial-up,Non,Non,Oui,Non,Oui,Service electronique,Non
Zone 2,46,49,Marie(e),13,51,Niveau Bac,21,Non,Homme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Oui
Zone 2,72,60,Marie(e),33,12,Inf au bac,20,Oui,Homme,3,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 1,61,43,Marie(e),6,34,Bac +4/5,6,Non,Homme,3,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 3,54,27,Non marie(e),3,27,Niveau Bac,6,Non,Femme,5,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Non,Oui,Oui,Service Total,Non
Zone 3,28,36,Non marie(e),3,42,Bac +2,7,Non,Femme,1,Oui,Non,Oui,Non,Dial-up,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,28,38,Non marie(e),8,119,Bac +4/5,2,Non,Homme,3,Non,Oui,Non,Oui,Dial-up,Non,Non,Non,Oui,Oui,Service Total,Oui
Zone 2,32,43,Non marie(e),13,146,Inf au bac,27,Non,Femme,1,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,52,46,Non marie(e),17,51,Niveau Bac,13,Non,Femme,3,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 1,48,62,Non marie(e),33,86,Inf au bac,22,Oui,Femme,1,Oui,Oui,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Oui,Service plus,Non
Zone 3,52,42,Marie(e),17,27,Bac +2,8,Non,Femme,2,Oui,Non,Oui,Non,Dial-up,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,37,43,Non marie(e),8,38,Bac +2,9,Non,Homme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 1,41,52,Non marie(e),26,928,Bac +2,29,Non,Homme,3,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,43,27,Marie(e),3,21,Niveau Bac,1,Non,Femme,3,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 3,67,60,Non marie(e),24,24,Inf au bac,6,Non,Femme,1,Non,Non,Oui,Non,Aucun,Non,Non,Oui,Oui,Non,Service plus,Non
Zone 3,61,52,Marie(e),30,91,Inf au bac,25,Non,Femme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,70,39,Marie(e),20,38,Niveau Bac,8,Non,Femme,4,Oui,Non,Oui,Non,Aucun,Oui,Non,Non,Oui,Non,Service plus,Non
Zone 3,44,32,Marie(e),1,96,Bac +2/3,5,Non,Femme,4,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 3,46,45,Non marie(e),12,96,Bac +2,17,Non,Homme,1,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 3,39,34,Non marie(e),2,54,Bac +2,5,Non,Homme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 2,39,59,Non marie(e),20,1668,Bac +2/3,27,Non,Femme,1,Oui,Non,Non,Non,Dial-up,Oui,Oui,Non,Non,Non,Service electronique,Non
Zone 2,50,29,Marie(e),10,53,Bac +2/3,0,Non,Femme,4,Oui,Oui,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 3,5,31,Non marie(e),1,21,Bac +2,1,Non,Femme,2,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Oui,Service basic,Oui
Zone 2,10,34,Non marie(e),1,52,Bac +4/5,3,Non,Femme,1,Non,Oui,Non,Oui,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 1,72,69,Non marie(e),45,17,Bac +2,36,Oui,Femme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,68,60,Non marie(e),40,262,Niveau Bac,39,Non,Femme,1,Non,Non,Oui,Non,Aucun,Oui,Oui,Oui,Non,Non,Service plus,Non
Zone 3,58,28,Non marie(e),5,34,Bac +4/5,1,Non,Femme,1,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 3,18,44,Marie(e),10,107,Inf au bac,19,Non,Femme,7,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 1,65,45,Marie(e),25,67,Bac +4/5,13,Non,Femme,2,Oui,Oui,Oui,Non,Aucun,Non,Oui,Non,Oui,Non,Service plus,Non
Zone 3,8,45,Non marie(e),1,37,Bac +2/3,0,Non,Homme,1,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 2,1,20,Non marie(e),1,21,Niveau Bac,0,Non,Femme,2,Non,Oui,Non,Non,Aucun,Oui,Non,Non,Non,Oui,Service basic,Oui
Zone 3,42,58,Non marie(e),7,22,Inf au bac,4,Non,Femme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 1,4,25,Marie(e),3,71,Bac +2,3,Non,Femme,5,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service basic,Non
Zone 3,17,35,Non marie(e),4,77,Bac +2,8,Non,Femme,1,Oui,Non,Non,Non,Aucun,Oui,Oui,Oui,Non,Non,Service plus,Non
Zone 2,8,24,Marie(e),1,18,Bac +2/3,0,Non,Femme,5,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 1,49,37,Marie(e),17,50,Niveau Bac,12,Non,Femme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 1,56,46,Marie(e),21,33,Bac +2/3,7,Non,Homme,2,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 1,62,57,Marie(e),21,94,Inf au bac,22,Non,Homme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,42,57,Marie(e),25,209,Inf au bac,40,Non,Femme,4,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 1,13,32,Non marie(e),7,31,Bac +2/3,5,Non,Homme,2,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,69,46,Marie(e),18,66,Niveau Bac,19,Non,Homme,4,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,45,59,Non marie(e),14,51,Inf au bac,15,Non,Homme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 2,66,42,Marie(e),18,118,Niveau Bac,20,Non,Homme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,15,35,Non marie(e),10,25,Niveau Bac,3,Non,Homme,1,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service basic,Oui
Zone 1,41,44,Marie(e),1,59,Bac +2,21,Non,Femme,3,Non,Oui,Oui,Non,Dial-up,Non,Oui,Non,Non,Oui,Service electronique,Non
Zone 2,11,20,Non marie(e),1,20,Niveau Bac,0,Non,Femme,1,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 3,45,30,Marie(e),0,63,Bac +4/5,4,Non,Homme,4,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 1,52,62,Non marie(e),23,36,Bac +2/3,17,Non,Homme,1,Oui,Non,Oui,Non,Aucun,Non,Non,Non,Oui,Non,Service basic,Non
Zone 1,42,56,Non marie(e),24,72,Bac +2/3,18,Non,Femme,1,Non,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,48,35,Non marie(e),11,50,Inf au bac,16,Non,Homme,3,Oui,Non,Oui,Non,Aucun,Oui,Oui,Non,Non,Non,Service plus,Non
Zone 3,4,31,Non marie(e),5,39,Niveau Bac,5,Non,Homme,2,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 3,53,64,Marie(e),10,54,Niveau Bac,20,Non,Femme,2,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 3,1,59,Non marie(e),4,9,Inf au bac,4,Oui,Homme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Non,Non,Service plus,Non
Zone 3,19,30,Marie(e),10,33,Bac +2/3,1,Non,Homme,3,Oui,Oui,Non,Non,Dial-up,Non,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,33,30,Non marie(e),11,28,Inf au bac,9,Non,Homme,1,Non,Non,Non,Non,Aucun,Non,Non,Oui,Non,Non,Service basic,Non
Zone 3,42,36,Marie(e),14,44,Niveau Bac,11,Non,Homme,3,Oui,Non,Non,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,60,32,Non marie(e),12,34,Bac +2/3,4,Non,Femme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,57,51,Marie(e),7,68,Bac +2/3,18,Non,Femme,3,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,64,39,Non marie(e),5,37,Inf au bac,9,Non,Homme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 2,28,20,Marie(e),1,18,Bac +2,0,Non,Homme,3,Non,Oui,Non,Oui,Dial-up,Non,Oui,Non,Oui,Oui,Service Total,Non
Zone 1,29,35,Marie(e),10,55,Niveau Bac,7,Non,Homme,4,Oui,Non,Oui,Non,Aucun,Non,Oui,Oui,Oui,Non,Service plus,Oui
Zone 1,46,31,Marie(e),12,21,Inf au bac,5,Non,Homme,5,Non,Non,Oui,Non,Aucun,Non,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,22,41,Marie(e),9,29,Bac +2,11,Non,Homme,4,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Oui
Zone 2,10,56,Non marie(e),26,9,Niveau Bac,6,Oui,Homme,2,Non,Non,Non,Non,Aucun,Non,Non,Non,Oui,Non,Service basic,Non
Zone 3,50,41,Non marie(e),16,138,Niveau Bac,18,Non,Femme,1,Oui,Oui,Oui,Non,Aucun,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 1,55,65,Non marie(e),34,28,Bac +2/3,12,Oui,Femme,1,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 2,15,54,Non marie(e),7,62,Inf au bac,11,Non,Homme,1,Non,Non,Non,Non,Aucun,Oui,Non,Non,Non,Non,Service basic,Non
Zone 1,31,32,Marie(e),13,37,Bac +2,8,Non,Femme,3,Oui,Non,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 3,5,44,Non marie(e),5,83,Inf au bac,16,Non,Femme,1,Non,Oui,Non,Non,Aucun,Non,Oui,Non,Non,Non,Service electronique,Oui
Zone 2,69,63,Non marie(e),28,168,Inf au bac,43,Non,Femme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,26,27,Marie(e),4,33,Bac +2/3,1,Non,Homme,6,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 3,10,33,Marie(e),2,66,Bac +2,9,Non,Femme,4,Oui,Non,Oui,Non,Dial-up,Oui,Non,Oui,Non,Non,Service basic,Oui
Zone 1,26,30,Non marie(e),9,18,Bac +2/3,1,Non,Homme,3,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Oui
Zone 3,25,30,Non marie(e),0,20,Inf au bac,4,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Non,Oui,Non,Service plus,Non
Zone 3,30,23,Marie(e),4,19,Bac +2,1,Non,Homme,4,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 1,21,39,Marie(e),7,25,Niveau Bac,1,Non,Homme,4,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,71,46,Non marie(e),27,119,Bac +4/5,7,Non,Femme,1,Non,Oui,Oui,Oui,Dial-up,Non,Non,Oui,Oui,Oui,Service Total,Non
Zone 3,11,48,Marie(e),5,323,Bac +2/3,25,Non,Homme,4,Oui,Non,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Non,Service plus,Oui
Zone 1,24,30,Marie(e),7,45,Inf au bac,11,Non,Femme,2,Non,Non,Non,Non,Aucun,Non,Non,Oui,Non,Non,Service basic,Non
Zone 1,65,59,Marie(e),27,197,Bac +2/3,26,Non,Homme,2,Non,Oui,Oui,Non,Aucun,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 1,16,34,Marie(e),13,56,Bac +2,10,Non,Femme,3,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Oui
Zone 3,37,51,Marie(e),26,24,Bac +2/3,4,Non,Homme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 1,5,30,Non marie(e),4,25,Bac +2,6,Non,Homme,1,Oui,Oui,Non,Non,Aucun,Oui,Oui,Oui,Non,Non,Service plus,Oui
Zone 1,3,55,Marie(e),9,26,Bac +4/5,0,Non,Femme,2,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 1,5,32,Non marie(e),6,33,Bac +2/3,3,Non,Homme,2,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service basic,Oui
Zone 1,60,44,Marie(e),4,150,Niveau Bac,24,Non,Homme,2,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,19,37,Marie(e),4,99,Niveau Bac,15,Non,Femme,3,Non,Non,Non,Non,Dial-up,Oui,Non,Non,Non,Oui,Service electronique,Oui
Zone 3,54,40,Non marie(e),19,50,Bac +2/3,12,Non,Femme,2,Non,Non,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,25,41,Non marie(e),3,81,Bac +2,20,Non,Femme,4,Non,Non,Oui,Non,Aucun,Non,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,1,36,Non marie(e),6,21,Inf au bac,1,Non,Homme,2,Non,Oui,Non,Non,Aucun,Oui,Non,Non,Non,Oui,Service electronique,Oui
Zone 3,54,68,Non marie(e),7,273,Bac +2,27,Non,Femme,1,Non,Non,Oui,Non,Dial-up,Non,Non,Non,Non,Oui,Service basic,Non
Zone 1,14,31,Marie(e),9,39,Bac +2,4,Non,Femme,7,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,14,28,Marie(e),7,17,Niveau Bac,3,Non,Homme,4,Non,Oui,Non,Non,Aucun,Non,Non,Non,Non,Oui,Service basic,Oui
Zone 2,10,45,Marie(e),8,115,Bac +2,17,Non,Femme,4,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 1,7,23,Non marie(e),3,27,Niveau Bac,1,Non,Femme,3,Oui,Non,Oui,Non,Aucun,Non,Oui,Oui,Non,Non,Service basic,Non
Zone 2,33,45,Non marie(e),24,35,Inf au bac,6,Non,Homme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Oui
Zone 1,3,23,Non marie(e),2,20,Niveau Bac,4,Non,Homme,1,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Oui,Oui,Service basic,Non
Zone 2,56,58,Marie(e),3,92,Inf au bac,25,Non,Homme,3,Non,Non,Oui,Non,Aucun,Non,Non,Non,Oui,Non,Service basic,Non
Zone 2,54,56,Non marie(e),8,207,Niveau Bac,35,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,72,55,Marie(e),28,40,Inf au bac,11,Non,Homme,5,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 1,18,29,Non marie(e),4,40,Niveau Bac,1,Non,Homme,1,Non,Oui,Non,Non,Dial-up,Oui,Oui,Oui,Non,Non,Service plus,Non
Zone 3,25,29,Non marie(e),9,55,Bac +2/3,1,Non,Homme,1,Oui,Non,Non,Non,Aucun,Oui,Non,Non,Non,Oui,Service basic,Oui
Zone 1,42,62,Non marie(e),26,26,Inf au bac,35,Oui,Femme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Oui,Service basic,Non
Zone 3,4,37,Non marie(e),2,41,Niveau Bac,8,Non,Homme,1,Oui,Oui,Oui,Non,Dial-up,Non,Oui,Non,Non,Non,Service basic,Non
